"areas","areaLabel"
"http://dbpedia.org/resource/Darwin,_Northern_Territory","Darwin, Northern Territory"
"http://dbpedia.org/resource/Northeastern_United_States","Northeastern United States"
"http://dbpedia.org/resource/Alabama","Alabama"
"http://dbpedia.org/resource/Florida","Florida"
"http://dbpedia.org/resource/Eastern_Canada","Eastern Canada"
"http://dbpedia.org/resource/Lesser_Antilles","Lesser Antilles"
"http://dbpedia.org/resource/Leeward_Antilles","Leeward Antilles"
"http://dbpedia.org/resource/Korea","Korea"
"http://dbpedia.org/resource/Yucatán_Peninsula","Yucatán Peninsula"
"http://dbpedia.org/resource/Miyako-jima","Miyako-jima"
"http://dbpedia.org/resource/Okinawa_Prefecture","Okinawa Prefecture"
"http://dbpedia.org/resource/Mid-Atlantic_states","Mid-Atlantic states"
"http://dbpedia.org/resource/American_Samoa","American Samoa"
"http://dbpedia.org/resource/Bonaire","Bonaire"
"http://dbpedia.org/resource/Curaçao","Curaçao"
"http://dbpedia.org/resource/Arkansas","Arkansas"
"http://dbpedia.org/resource/Mascarene_Islands","Mascarene Islands"
"http://dbpedia.org/resource/Socorro_Island","Socorro Island"
"http://dbpedia.org/resource/Nicobar_Islands","Nicobar Islands"
"http://dbpedia.org/resource/Andaman_Islands","Andaman Islands"
"http://dbpedia.org/resource/Georgia_(U.S._state)","Georgia (U.S. state)"
"http://dbpedia.org/resource/Maryland","Maryland"
"http://dbpedia.org/resource/Louisiana","Louisiana"
"http://dbpedia.org/resource/Northern_Mariana_Islands","Northern Mariana Islands"
"http://dbpedia.org/resource/Isla_de_la_Juventud","Isla de la Juventud"
"http://dbpedia.org/resource/Mississippi","Mississippi"
"http://dbpedia.org/resource/Northern_Territory","Northern Territory"
"http://dbpedia.org/resource/New_Jersey","New Jersey"
"http://dbpedia.org/resource/North_Carolina","North Carolina"
"http://dbpedia.org/resource/Ohio","Ohio"
"http://dbpedia.org/resource/Nebraska","Nebraska"
"http://dbpedia.org/resource/Newfoundland_(island)","Newfoundland (island)"
"http://dbpedia.org/resource/Illinois","Illinois"
"http://dbpedia.org/resource/Missouri","Missouri"
"http://dbpedia.org/resource/Hawaii_(island)","Hawaii (island)"
"http://dbpedia.org/resource/Michigan","Michigan"
"http://dbpedia.org/resource/Maine","Maine"
"http://dbpedia.org/resource/Massachusetts","Massachusetts"
"http://dbpedia.org/resource/New_Hampshire","New Hampshire"
"http://dbpedia.org/resource/Virginia","Virginia"
"http://dbpedia.org/resource/The_Carolinas","The Carolinas"
"http://dbpedia.org/resource/Leeward_Islands","Leeward Islands"
"http://dbpedia.org/resource/Rotuma","Rotuma"
"http://dbpedia.org/resource/Afghanistan","Afghanistan"
"http://dbpedia.org/resource/Texas","Texas"
"http://dbpedia.org/resource/Central_United_States","Central United States"
"http://dbpedia.org/resource/Russian_Far_East","Russian Far East"
"http://dbpedia.org/resource/Bangladesh","Bangladesh"
"http://dbpedia.org/resource/Western_Australia","Western Australia"
"http://dbpedia.org/resource/Réunion","Réunion"
"http://dbpedia.org/resource/Australia","Australia"
"http://dbpedia.org/resource/Far_North_Queensland","Far North Queensland"
"http://dbpedia.org/resource/Queensland","Queensland"
"http://dbpedia.org/resource/Windward_Islands","Windward Islands"
"http://dbpedia.org/resource/South_Carolina","South Carolina"
"http://dbpedia.org/resource/West_Virginia","West Virginia"
"http://dbpedia.org/resource/Oklahoma","Oklahoma"
"http://dbpedia.org/resource/Pennsylvania","Pennsylvania"
"http://dbpedia.org/resource/Pohnpei","Pohnpei"
"http://dbpedia.org/resource/Aruba","Aruba"
"http://dbpedia.org/resource/Yap","Yap"
"http://dbpedia.org/resource/Hawaiian_Islands","Hawaiian Islands"
"http://dbpedia.org/resource/Caroline_Islands","Caroline Islands"
"http://dbpedia.org/resource/Bermuda","Bermuda"
"http://dbpedia.org/resource/Cuba","Cuba"
"http://dbpedia.org/resource/Belize","Belize"
"http://dbpedia.org/resource/China","China"
"http://dbpedia.org/resource/Cayman_Islands","Cayman Islands"
"http://dbpedia.org/resource/Colombia","Colombia"
"http://dbpedia.org/resource/Denmark","Denmark"
"http://dbpedia.org/resource/Canada","Canada"
"http://dbpedia.org/resource/Barbados","Barbados"
"http://dbpedia.org/resource/Cook_Islands","Cook Islands"
"http://dbpedia.org/resource/Fiji","Fiji"
"http://dbpedia.org/resource/Jamaica","Jamaica"
"http://dbpedia.org/resource/Honduras","Honduras"
"http://dbpedia.org/resource/Guam","Guam"
"http://dbpedia.org/resource/India","India"
"http://dbpedia.org/resource/Haiti","Haiti"
"http://dbpedia.org/resource/El_Salvador","El Salvador"
"http://dbpedia.org/resource/Guatemala","Guatemala"
"http://dbpedia.org/resource/Faroe_Islands","Faroe Islands"
"http://dbpedia.org/resource/Grenada","Grenada"
