"s"	"abstract"	"name"	"year"	"hurType"	"season"	"damages"	"fatalities"	"winds"	"started"	"ended"	"areas"
"http://dbpedia.org/resource/Cyclone_Bola"	"Cyclone Bola was one of the costliest cyclones in the history of New Zealand, causing severe damage as an extratropical cyclone when it passed near the country in March 1988. It formed on February 24 to the north of Fiji, and tracking generally southwestward it reached hurricane-force winds near Vanuatu on February 28. The next day it generated peak wind velocities of 195 km/h (120 mph), though it quickly weakened as it accelerated southward. On March 4 Bola transitioned into an extratropical storm, passing to the north of the North Island of New Zealand on March 8. It weakened further and was absorbed by a stationary trough near the South Island on March 12.The cyclone first affected Fiji, where it produced gale force winds and strong waves. In Vanuatu, Bola dropped heavy rainfall, which destroyed two bridges and caused severe damage to islands in the group. Bola caused severe damage to the North Island of New Zealand, where heavy rainfall peaked at 917 mm (36.1 in) in Gisborne Region. Damage totaled over $82 million (1988 USD). Three people were killed due to flooding, and hundreds were evacuated when a swollen river threatened Wairoa. In Whangaruru Harbor Northland a samaritan act accounted for another Bola fatality when an elderly male long time resident of Rapata road Oakura Bay attempted to tie down a neighbours empty water tank. He suffered a massive heart attack and died during the peak of the storm.The name Bola was later retired, meaning it will not be used again within the same basin."	"Severe Tropical Cyclone Bola"	1988	"http://dbpedia.org/class/yago/Hurricane111467018"	1987	82	3	105	1988-02-23	1988-03-04	"http://dbpedia.org/resource/Fiji"
"http://dbpedia.org/resource/Cyclone_Bola"	"Cyclone Bola was one of the costliest cyclones in the history of New Zealand, causing severe damage as an extratropical cyclone when it passed near the country in March 1988. It formed on February 24 to the north of Fiji, and tracking generally southwestward it reached hurricane-force winds near Vanuatu on February 28. The next day it generated peak wind velocities of 195 km/h (120 mph), though it quickly weakened as it accelerated southward. On March 4 Bola transitioned into an extratropical storm, passing to the north of the North Island of New Zealand on March 8. It weakened further and was absorbed by a stationary trough near the South Island on March 12.The cyclone first affected Fiji, where it produced gale force winds and strong waves. In Vanuatu, Bola dropped heavy rainfall, which destroyed two bridges and caused severe damage to islands in the group. Bola caused severe damage to the North Island of New Zealand, where heavy rainfall peaked at 917 mm (36.1 in) in Gisborne Region. Damage totaled over $82 million (1988 USD). Three people were killed due to flooding, and hundreds were evacuated when a swollen river threatened Wairoa. In Whangaruru Harbor Northland a samaritan act accounted for another Bola fatality when an elderly male long time resident of Rapata road Oakura Bay attempted to tie down a neighbours empty water tank. He suffered a massive heart attack and died during the peak of the storm.The name Bola was later retired, meaning it will not be used again within the same basin."	"Severe Tropical Cyclone Bola"	1988	"http://dbpedia.org/class/yago/Hurricane111467018"	1987	82	3	105	1988-02-23	1988-03-04	"http://dbpedia.org/resource/New_Zealand"
"http://dbpedia.org/resource/Cyclone_Bola"	"Cyclone Bola was one of the costliest cyclones in the history of New Zealand, causing severe damage as an extratropical cyclone when it passed near the country in March 1988. It formed on February 24 to the north of Fiji, and tracking generally southwestward it reached hurricane-force winds near Vanuatu on February 28. The next day it generated peak wind velocities of 195 km/h (120 mph), though it quickly weakened as it accelerated southward. On March 4 Bola transitioned into an extratropical storm, passing to the north of the North Island of New Zealand on March 8. It weakened further and was absorbed by a stationary trough near the South Island on March 12.The cyclone first affected Fiji, where it produced gale force winds and strong waves. In Vanuatu, Bola dropped heavy rainfall, which destroyed two bridges and caused severe damage to islands in the group. Bola caused severe damage to the North Island of New Zealand, where heavy rainfall peaked at 917 mm (36.1 in) in Gisborne Region. Damage totaled over $82 million (1988 USD). Three people were killed due to flooding, and hundreds were evacuated when a swollen river threatened Wairoa. In Whangaruru Harbor Northland a samaritan act accounted for another Bola fatality when an elderly male long time resident of Rapata road Oakura Bay attempted to tie down a neighbours empty water tank. He suffered a massive heart attack and died during the peak of the storm.The name Bola was later retired, meaning it will not be used again within the same basin."	"Severe Tropical Cyclone Bola"	1988	"http://dbpedia.org/class/yago/Hurricane111467018"	1987	82	3	105	1988-02-23	1988-03-04	"http://dbpedia.org/resource/Vanuatu"
"http://dbpedia.org/resource/Cyclone_Tracy"	"Cyclone Tracy was a tropical cyclone that devastated the city of Darwin, Northern Territory, Australia, from Christmas Eve to Christmas Day, 1974. It is the most compact cyclone or equivalent-strength hurricane on record in the Australian basin, with gale-force winds extending only 48 kilometres (30 mi) from the centre and was the most compact system worldwide until 2008 when Tropical Storm Marco of the 2008 Atlantic hurricane season broke the record, with gale-force winds extending only 19 kilometres (12 mi) from the centre. After forming over the Arafura Sea, the storm moved southwards and affected the city with Category 4 winds on the Australian cyclone intensity scale, while there is evidence to suggest that it had reached Category 3 on the Saffir-Simpson Hurricane Scale when it made landfall.Tracy killed 71 people, caused A$837 million in damage (1974 dollars), or approximately A$4.45 billion (2014 dollars). It destroyed more than 70 percent of Darwin's buildings, including 80 percent of houses. Tracy left more than 41,000 out of the 47,000 inhabitants of the city homeless prior to landfall and required the evacuation of over 30,000 people.  Most of Darwin's population was evacuated to Adelaide, Whyalla, Alice Springs and Sydney, and many never returned to the city. After the storm passed, the city was rebuilt using more modern materials and updated building techniques. Bruce Stannard of The Age stated that Cyclone Tracy was a ""disaster of the first magnitude ... without parallel in Australia's history."""	"Cyclone Tracy"	1974	"http://dbpedia.org/class/yago/Hurricane111467018"	1974	800	71	110	1974-12-21	1974-12-26	"http://dbpedia.org/resource/Darwin,_Northern_Territory"
"http://dbpedia.org/resource/Cyclone_Tracy"	"Cyclone Tracy was a tropical cyclone that devastated the city of Darwin, Northern Territory, Australia, from Christmas Eve to Christmas Day, 1974. It is the most compact cyclone or equivalent-strength hurricane on record in the Australian basin, with gale-force winds extending only 48 kilometres (30 mi) from the centre and was the most compact system worldwide until 2008 when Tropical Storm Marco of the 2008 Atlantic hurricane season broke the record, with gale-force winds extending only 19 kilometres (12 mi) from the centre. After forming over the Arafura Sea, the storm moved southwards and affected the city with Category 4 winds on the Australian cyclone intensity scale, while there is evidence to suggest that it had reached Category 3 on the Saffir-Simpson Hurricane Scale when it made landfall.Tracy killed 71 people, caused A$837 million in damage (1974 dollars), or approximately A$4.45 billion (2014 dollars). It destroyed more than 70 percent of Darwin's buildings, including 80 percent of houses. Tracy left more than 41,000 out of the 47,000 inhabitants of the city homeless prior to landfall and required the evacuation of over 30,000 people.  Most of Darwin's population was evacuated to Adelaide, Whyalla, Alice Springs and Sydney, and many never returned to the city. After the storm passed, the city was rebuilt using more modern materials and updated building techniques. Bruce Stannard of The Age stated that Cyclone Tracy was a ""disaster of the first magnitude ... without parallel in Australia's history."""	"Cyclone Tracy"	1974	"http://dbpedia.org/class/yago/Hurricane111467018"	1974	800	71	110	1974-12-21	1974-12-26	"http://dbpedia.org/resource/Tiwi_Islands"
"http://dbpedia.org/resource/Hurricane_Belle"	"Hurricane Belle was a strong tropical cyclone that caused moderate damage across the East Coast of the United States in August 1976. In late July, a tropical wave emerged off the west coast of Africa. Traversing the Atlantic Ocean for more than a week, the system eventually consolidated into a tropical depression near the Bahamas on August 6. Remaining nearly stationary for a day, the depression strengthened into a tropical storm on August 7 and a hurricane later that day as it acquired a northwest motion. Formation of an eye accompanied quick intensification and Belle reached its peak the following day with winds of 120 mph (195 km/h). The hurricane subsequently turned north and accelerated, skirting the Outer Banks of North Carolina. Early on August 10, Belle made landfall on Long Island, New York, as a minimal hurricane crossing Long Island Sound and hitting the central coast of Connecticut as strong tropical storm. Thereafter, Belle transitioned into an extratropical cyclone over New England before moving over Atlantic Canada. The system turned east while over the north Atlantic and ultimately dissipated on August 15 to the south of Iceland.Threatening much of the East Coast of the United States, hurricane warnings were issued from Georgia to Maine. An estimated 500,000 people evacuated coastal areas accordingly. Overall, impacts from Belle were less than expected and mainly attributed to flooding across New England. Hundreds of thousands of residents lost power due to high winds. A total of 12 people lost their lives, mostly incidents indirectly related to the hurricane, and damage reached an estimated $100 million. Portions of New Jersey, New York, and Vermont were later declared major disaster areas by then-President Gerald Ford. Some damage also took place in New Brunswick, Canada, from heavy rain."	"Hurricane Belle"	1976	"http://dbpedia.org/class/yago/Hurricane111467018"	1976	100	12	105	1976-08-06	1976-08-15	"North Carolina, Mid-Atlantic states, New England, and Atlantic Canada"
"http://dbpedia.org/resource/Hurricane_Donna"	"Hurricane Donna brought severe damage to the Lesser Antilles, the Greater Antilles, and the East Coast of the United States, especially Florida in August–September 1960. The fifth tropical cyclone, third hurricane, and first major hurricane of the season, Donna developed south of Cape Verde on August 29, spawned by a tropical wave to which 63 deaths from a plane crash in Senegal were attributed. The depression strengthened into Tropical Storm Donna by the following day. Donna moved west-northwestward at roughly 20 mph (32 km/h) and by September 1, it reached hurricane status. Significant deepening occurred during the next 30 hours, with Donna being a moderate Category 4 hurricane by late on September 2. Intensification continued and it briefly became a Category 5 hurricane early on September 4. Thereafter, it weakened to a Category 4 and brushed the Lesser Antilles later that day. On Sint Maarten, the storm left a quarter of the island homeless and killed seven people. An additional five deaths were reported in Anguilla and there were seven other fatalities throughout the Virgin Islands. In Puerto Rico, severe flash flooding led to 107 fatalities, 85 of them in Humacao alone. Donna further weakened to a Category 3 hurricane late on September 5, but eventually became a Category 4 hurricane again. While passing through The Bahamas, several small island communities in the central regions of the country were leveled, but no damage total or fatalities were reported.Early on September 10, Donna made landfall near Marathon, Florida with winds of 130 mph (215 km/h), hours before another landfall south of Naples at the same intensity. Florida bore the brunt of Hurricane Donna. In the Florida Keys, coastal flooding severely damaged 75% of buildings, destroyed several subdivisions in Marathon. On the mainland, 5,200 houses were impacted, which does not include the 75% of homes damaged at Fort Myers Beach; 50% of buildings were also destroyed in the city of Everglades. Crop losses were also extensive. A total of 50% of grapefruit crop was lost, 10% of the orange and tangerine crop was lost, and the avocado crop was almost completely destroyed. In the state of Florida alone, there were 13 deaths and $300 million in losses. Donna weakened over Florida and was a Category 2 hurricane when it re-emerged into the Atlantic from North Florida. By early on September 12, the storm made landfall near Topsail Beach, North Carolina as a strong Category 2 hurricane. Donna brought tornadoes and wind gusts up to 100 mph (155 km/h), damaging or destroying several buildings in Eastern North Carolina, while crops were impacted as far as 50 miles (80 km) inland. Additionally, storm surge caused significant beach erosion and structural damage at Wilmington and Nags Head. Eight people were killed and there were over 100 injuries. Later on September 12, Donna reemerged into the Atlantic Ocean and continued to move northeastward. The storm struck Long Island, New York late on September 12 and rapidly weakened inland. On the following day, Donna became extratropical over Maine."	"Hurricane Donna"	1960	"http://dbpedia.org/class/yago/Hurricane111467018"	1960	900	164	140	1960-08-29	1960-09-14	"Leeward Islands, Puerto Rico, Hispaniola, Cuba, Bahamas, East Coast of the United States, eastern Canada"
"http://dbpedia.org/resource/Hurricane_Donna"	"Hurricane Donna brought severe damage to the Lesser Antilles, the Greater Antilles, and the East Coast of the United States, especially Florida in August–September 1960. The fifth tropical cyclone, third hurricane, and first major hurricane of the season, Donna developed south of Cape Verde on August 29, spawned by a tropical wave to which 63 deaths from a plane crash in Senegal were attributed. The depression strengthened into Tropical Storm Donna by the following day. Donna moved west-northwestward at roughly 20 mph (32 km/h) and by September 1, it reached hurricane status. Significant deepening occurred during the next 30 hours, with Donna being a moderate Category 4 hurricane by late on September 2. Intensification continued and it briefly became a Category 5 hurricane early on September 4. Thereafter, it weakened to a Category 4 and brushed the Lesser Antilles later that day. On Sint Maarten, the storm left a quarter of the island homeless and killed seven people. An additional five deaths were reported in Anguilla and there were seven other fatalities throughout the Virgin Islands. In Puerto Rico, severe flash flooding led to 107 fatalities, 85 of them in Humacao alone. Donna further weakened to a Category 3 hurricane late on September 5, but eventually became a Category 4 hurricane again. While passing through The Bahamas, several small island communities in the central regions of the country were leveled, but no damage total or fatalities were reported.Early on September 10, Donna made landfall near Marathon, Florida with winds of 130 mph (215 km/h), hours before another landfall south of Naples at the same intensity. Florida bore the brunt of Hurricane Donna. In the Florida Keys, coastal flooding severely damaged 75% of buildings, destroyed several subdivisions in Marathon. On the mainland, 5,200 houses were impacted, which does not include the 75% of homes damaged at Fort Myers Beach; 50% of buildings were also destroyed in the city of Everglades. Crop losses were also extensive. A total of 50% of grapefruit crop was lost, 10% of the orange and tangerine crop was lost, and the avocado crop was almost completely destroyed. In the state of Florida alone, there were 13 deaths and $300 million in losses. Donna weakened over Florida and was a Category 2 hurricane when it re-emerged into the Atlantic from North Florida. By early on September 12, the storm made landfall near Topsail Beach, North Carolina as a strong Category 2 hurricane. Donna brought tornadoes and wind gusts up to 100 mph (155 km/h), damaging or destroying several buildings in Eastern North Carolina, while crops were impacted as far as 50 miles (80 km) inland. Additionally, storm surge caused significant beach erosion and structural damage at Wilmington and Nags Head. Eight people were killed and there were over 100 injuries. Later on September 12, Donna reemerged into the Atlantic Ocean and continued to move northeastward. The storm struck Long Island, New York late on September 12 and rapidly weakened inland. On the following day, Donna became extratropical over Maine."	"Hurricane Donna"	1960	"http://dbpedia.org/class/yago/RetiredAtlanticHurricanes"	1960	900	164	140	1960-08-29	1960-09-14	"Leeward Islands, Puerto Rico, Hispaniola, Cuba, Bahamas, East Coast of the United States, eastern Canada"
"http://dbpedia.org/resource/Hurricane_Donna"	"Hurricane Donna brought severe damage to the Lesser Antilles, the Greater Antilles, and the East Coast of the United States, especially Florida in August–September 1960. The fifth tropical cyclone, third hurricane, and first major hurricane of the season, Donna developed south of Cape Verde on August 29, spawned by a tropical wave to which 63 deaths from a plane crash in Senegal were attributed. The depression strengthened into Tropical Storm Donna by the following day. Donna moved west-northwestward at roughly 20 mph (32 km/h) and by September 1, it reached hurricane status. Significant deepening occurred during the next 30 hours, with Donna being a moderate Category 4 hurricane by late on September 2. Intensification continued and it briefly became a Category 5 hurricane early on September 4. Thereafter, it weakened to a Category 4 and brushed the Lesser Antilles later that day. On Sint Maarten, the storm left a quarter of the island homeless and killed seven people. An additional five deaths were reported in Anguilla and there were seven other fatalities throughout the Virgin Islands. In Puerto Rico, severe flash flooding led to 107 fatalities, 85 of them in Humacao alone. Donna further weakened to a Category 3 hurricane late on September 5, but eventually became a Category 4 hurricane again. While passing through The Bahamas, several small island communities in the central regions of the country were leveled, but no damage total or fatalities were reported.Early on September 10, Donna made landfall near Marathon, Florida with winds of 130 mph (215 km/h), hours before another landfall south of Naples at the same intensity. Florida bore the brunt of Hurricane Donna. In the Florida Keys, coastal flooding severely damaged 75% of buildings, destroyed several subdivisions in Marathon. On the mainland, 5,200 houses were impacted, which does not include the 75% of homes damaged at Fort Myers Beach; 50% of buildings were also destroyed in the city of Everglades. Crop losses were also extensive. A total of 50% of grapefruit crop was lost, 10% of the orange and tangerine crop was lost, and the avocado crop was almost completely destroyed. In the state of Florida alone, there were 13 deaths and $300 million in losses. Donna weakened over Florida and was a Category 2 hurricane when it re-emerged into the Atlantic from North Florida. By early on September 12, the storm made landfall near Topsail Beach, North Carolina as a strong Category 2 hurricane. Donna brought tornadoes and wind gusts up to 100 mph (155 km/h), damaging or destroying several buildings in Eastern North Carolina, while crops were impacted as far as 50 miles (80 km) inland. Additionally, storm surge caused significant beach erosion and structural damage at Wilmington and Nags Head. Eight people were killed and there were over 100 injuries. Later on September 12, Donna reemerged into the Atlantic Ocean and continued to move northeastward. The storm struck Long Island, New York late on September 12 and rapidly weakened inland. On the following day, Donna became extratropical over Maine."	"Hurricane Donna"	1960	"http://dbpedia.org/class/yago/Category5AtlanticHurricanes"	1960	900	164	140	1960-08-29	1960-09-14	"Leeward Islands, Puerto Rico, Hispaniola, Cuba, Bahamas, East Coast of the United States, eastern Canada"
"http://dbpedia.org/resource/Hurricane_Dora"	"Hurricane Dora was first tropical cyclone on record to make landfall over the First Coast of Florida. The sixth tropical storm and second hurricane of the 1964 season, Dora developed from a tropical wave near the coast of Senegal on August 28. After a reconnaissance aircraft flight on September 1, the depression was upgraded to Tropical Storm Dora. It then curved northeastward and continued to strengthen. By early on September 3, Dora became a Category 1 hurricane. Six hours later, the storm reached Category 2 intensity. Intensification slowed somewhat, though Dora became a Category 3 on September 5. Deepening further, the peaked as a Category 4 with maximum sustained winds of 130 mph (215 km/h) early the following day. At 18:00 UTC on September 16, Dora weakened to a Category 3 hurricane, then a Category 2 hurricane while curving westward early the following day. Later on September 17, Dora re-strengthened into a Category 3 hurricane. Approaching the east coast of Florida, Dora's motion became erratic, making a few cyclonic loops. Around 04:00 UTC on September 10, the hurricane made landfall near St. Augustine, Florida, with winds of 115 mph (185 km/h). Two hours later, Dora weakened to a Category 2 hurricane. However, deterioration then slowed, with the hurricane falling to tropical storm intensity over Jefferson County on September 11. Dora then briefly drifted over southwestern Georgia, until turned east-northeastward late the next day. Early on September 14, the storm re-emerged into the Atlantic Ocean near Cape Hatteras, North Carolina, and transitioned into an extratropical cyclone several hours later. The remnants of Dora moved rapidly northeastward and dissipated offshore Newfoundland early on September 16.Along the coast, tides reached up to 10 ft (3.0 m) above mean sea level. Strong winds lashed North Florida, with sustained wind of 125 mph (205 km/h) observed in St. Augustine. In Jacksonville, approximately 156,000 customers were left without electricity, while about 19% of phones in Duval County were out of service. Much of the damage in the Jacksonville area occurred to older buildings and those located in coastal areas. Additionally, sections of the city experienced wind-induced river flooding in the vicinity of the St. Johns River. Heavy rainfall damaged many unharvested crops and inundated numerous of roads and bridges, isolated some communities for several days. Throughout Florida, 74 dwellings were flattened and 9,374 received damage, while 14 mobile homes were destroyed and 218 others suffered severe impact. About 50 farm buildings and 423 small businesses were severely damaged or demolished. Three deaths and at least $230 million in damage occurred. In Georgia, the storm damaged about 1,135 homes and obliterated five others. Additionally, 18 trailers suffered major impact, while 43 small businesses were destroyed or experienced severe damage. There was one death in the state and at least $9 million in damage. A few other states were affected by the storm, though impact there was much lesser. One death occurred in Virginia. Overall, Dora caused $280 million in damage and five deaths."	"Hurricane Dora"	1964	"http://dbpedia.org/class/yago/Hurricane111467018"	1964	250	5	115	1964-08-28	1964-09-14	"http://dbpedia.org/resource/Northeastern_United_States"
